+--------+-----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                    |
+--------+-----------------------------------------------------------------------------------------------------+
| Total  | 0.0 +- 0.0 (0%)                   | chi2=1.0|mwi=1.0|n=0.0M(1e+02%)|n0=0.0M(0.0e+00%)               |
| Sum    | 0.0 +- 0.0 (0%)                                                                                     |
| GL188  | +6.54871e-06 +- 3.59e-07 (5.5%)   | chi2=0.868|mwi=1.91|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%         |
| GL98   | +1.34033e-05 +- 3.28e-07 (2.5%)   | chi2=1.05|mwi=3.88|n=12.2M(0.044%)|n0=0.0M(0.00015%)|p=0.04%    |
| GL204  | -1.9753e-06  +- 3.26e-07 (16%)    | chi2=1.16|mwi=1.95|n=12.2M(0.044%)|n0=0.0M(0.00044%)|p=0.04%    |
| GL212  | -3.16987e-05 +- 3.19e-07 (1%)     | chi2=3.75|mwi=2.88|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          | x
| GL226  | -7.7582e-06  +- 2.86e-07 (3.7%)   | chi2=1.09|mwi=2.7|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%           |
| GL258  | -4.35135e-05 +- 2.76e-07 (0.63%)  | chi2=1.23|mwi=9.43|n=12.3M(0.044%)|n0=0.0M(0.0009%)|p=0.04%     |
| GL36   | +1.26888e-05 +- 2.62e-07 (2.1%)   | chi2=0.834|mwi=2.32|n=12.2M(0.044%)|n0=0.0M(2.5e-05%)|p=0.04%   |
| GL374  | -7.51959e-06 +- 2.49e-07 (3.3%)   | chi2=1.01|mwi=1.71|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL200  | -2.06255e-05 +- 2.49e-07 (1.2%)   | chi2=1.33|mwi=3.77|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL198  | +2.38647e-05 +- 1.74e-07 (0.73%)  | chi2=3.33|mwi=6.86|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          | x
| GL96   | -2.24625e-06 +- 1.71e-07 (7.6%)   | chi2=1.22|mwi=75.6|n=12.7M(0.046%)|n0=0.0M(0%)|p=0.04%          | x
| GL388  | -4.39544e-06 +- 1.7e-07  (3.9%)   | chi2=1.17|mwi=1.98|n=12.2M(0.044%)|n0=0.0M(0.0007%)|p=0.04%     |
| GL222  | +7.79135e-06 +- 1.52e-07 (1.9%)   | chi2=1.04|mwi=1.42|n=12.2M(0.044%)|n0=0.0M(6.5e-05%)|p=0.04%    |
| GL130  | +4.51884e-07 +- 1.46e-07 (32%)    | chi2=1.09|mwi=4.33|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL262  | +2.98791e-05 +- 1.37e-07 (0.46%)  | chi2=1.84|mwi=5.57|n=12.2M(0.044%)|n0=0.0M(0.00013%)|p=0.04%    |
| GL448  | -1.6998e-05  +- 1.05e-07 (0.62%)  | chi2=1.49|mwi=8.51|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%    |
| GL206  | -1.17709e-05 +- 1.04e-07 (0.88%)  | chi2=2.62|mwi=2.54|n=12.2M(0.044%)|n0=0.0M(0.00029%)|p=0.04%    |
| GL134  | -6.38699e-06 +- 9.44e-08 (1.5%)   | chi2=2.28|mwi=3.93|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL162  | -3.38397e-06 +- 9.21e-08 (2.7%)   | chi2=1.09|mwi=6.33|n=12.2M(0.044%)|n0=0.0M(0.00078%)|p=0.04%    |
| GL396  | -1.06753e-05 +- 7.8e-08  (0.73%)  | chi2=1.22|mwi=1.12|n=12.2M(0.044%)|n0=0.0M(0.0081%)|p=0.04%     |
| GL232  | +1.18794e-05 +- 7.78e-08 (0.66%)  | chi2=2.06|mwi=4.7|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%     |
| GL202  | +5.10846e-07 +- 7.39e-08 (14%)    | chi2=1.1|mwi=7.52|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%     |
| GL270  | +6.98224e-06 +- 7.16e-08 (1%)     | chi2=2.45|mwi=41|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%      | x
| GL102  | +2.37047e-07 +- 7.13e-08 (30%)    | chi2=0.851|mwi=6.2|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%    |
| GL452  | +1.98322e-07 +- 7.07e-08 (36%)    | chi2=1.05|mwi=11.1|n=12.2M(0.044%)|n0=0.0M(0.00057%)|p=0.04%    |
| GL378  | +4.74351e-06 +- 7.02e-08 (1.5%)   | chi2=3.84|mwi=2.88|n=12.2M(0.044%)|n0=0.0M(2.5e-05%)|p=0.04%    | x
| GL122  | +5.56225e-06 +- 7.01e-08 (1.3%)   | chi2=1.83|mwi=3.84|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL246  | +7.87279e-06 +- 6.71e-08 (0.85%)  | chi2=4.37|mwi=2.56|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          | x
| GL238  | +1.3027e-06  +- 6.67e-08 (5.1%)   | chi2=1.11|mwi=2.09|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL274  | -1.67897e-05 +- 6.53e-08 (0.39%)  | chi2=1.1|mwi=1.78|n=12.2M(0.044%)|n0=0.0M(0.00013%)|p=0.04%     |
| GL160  | +2.02552e-06 +- 6.1e-08  (3%)     | chi2=1.05|mwi=8.31|n=12.2M(0.044%)|n0=0.0M(0.00027%)|p=0.04%    |
| GL148  | +7.69825e-06 +- 6.09e-08 (0.79%)  | chi2=1.02|mwi=2.33|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL404  | +6.35409e-06 +- 5.58e-08 (0.88%)  | chi2=2.31|mwi=4.02|n=12.2M(0.044%)|n0=0.0M(3.3e-05%)|p=0.04%    | x
| GL424  | +7.59495e-06 +- 5.47e-08 (0.72%)  | chi2=1.09|mwi=2.31|n=12.2M(0.044%)|n0=0.0M(1.6e-05%)|p=0.04%    |
| GL276  | -4.53394e-06 +- 5.37e-08 (1.2%)   | chi2=0.949|mwi=2.48|n=12.2M(0.044%)|n0=0.0M(1.6e-05%)|p=0.04%   |
| GL408  | -1.40537e-05 +- 5.28e-08 (0.38%)  | chi2=1.09|mwi=0.825|n=12.2M(0.044%)|n0=0.0M(6.5e-05%)|p=0.04%   |
| GL26   | -6.92192e-07 +- 5.26e-08 (7.6%)   | chi2=5.51|mwi=2.61e+03|n=12.4M(0.045%)|n0=0.0M(0%)|p=0.04%      | x
| GL144  | +3.23687e-05 +- 4.8e-08  (0.15%)  | chi2=1.1|mwi=1.38|n=12.2M(0.044%)|n0=0.0M(0.00065%)|p=0.04%     |
| GL180  | +6.59538e-06 +- 4.54e-08 (0.69%)  | chi2=3.98|mwi=2.08|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          | x
| GL386  | -6.62836e-06 +- 4.46e-08 (0.67%)  | chi2=1.92|mwi=2.39|n=12.2M(0.044%)|n0=0.0M(0.00021%)|p=0.04%    |
| GL394  | +7.04076e-06 +- 4.21e-08 (0.6%)   | chi2=1.09|mwi=7|n=12.2M(0.044%)|n0=0.0M(0.00061%)|p=0.04%       |
| GL384  | +6.35211e-06 +- 4.06e-08 (0.64%)  | chi2=1.63|mwi=1.56|n=12.2M(0.044%)|n0=0.0M(0.0002%)|p=0.04%     |
| GL224  | -1.45921e-07 +- 3.74e-08 (26%)    | chi2=1.4|mwi=4.09|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%           |
| GL428  | -6.3752e-06  +- 3.74e-08 (0.59%)  | chi2=1.24|mwi=4.28|n=12.2M(0.044%)|n0=0.0M(0.00036%)|p=0.04%    |
| GL230  | -4.45575e-06 +- 3.65e-08 (0.82%)  | chi2=2.55|mwi=1.18|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          | x
| GL228  | +1.63507e-06 +- 3.63e-08 (2.2%)   | chi2=1.27|mwi=1.43|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL146  | -1.07673e-05 +- 3.18e-08 (0.29%)  | chi2=1.16|mwi=0.603|n=12.2M(0.044%)|n0=0.0M(1.6e-05%)|p=0.04%   |
| GL196  | +4.30239e-07 +- 2.94e-08 (6.8%)   | chi2=1.08|mwi=7.81|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL164  | -4.60696e-06 +- 2.75e-08 (0.6%)   | chi2=2.44|mwi=4.02|n=12.2M(0.044%)|n0=0.0M(0.00019%)|p=0.04%    | x
| GL290  | -3.71102e-06 +- 2.65e-08 (0.72%)  | chi2=0.992|mwi=2.02|n=12.2M(0.044%)|n0=0.0M(0.00011%)|p=0.04%   |
| GL288  | +1.84784e-06 +- 2.65e-08 (1.4%)   | chi2=0.937|mwi=3.51|n=12.2M(0.044%)|n0=0.0M(2.5e-05%)|p=0.04%   |
| GL0    | -6.24741e-06 +- 2.28e-08 (0.36%)  | chi2=3.03|mwi=14.3|n=12.2M(0.044%)|n0=0.0M(0.00011%)|p=0.04%    | x
| GL120  | +1.60689e-07 +- 2.14e-08 (13%)    | chi2=1.12|mwi=3.96|n=12.2M(0.044%)|n0=0.0M(0.00016%)|p=0.04%    |
