+--------+-----------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                              |
+--------+-----------------------------------------------------------------------------------------------+
| GL406  | +2.6725e-06  +- 1.52e-05 (5.7e+02%) | chi2=0|mwi=0.733|n=7.5M(0.75%)|n0=0.0M(0.33%)|p=0.75%   |
| GL204  | +7.26041e-06 +- 1.35e-05 (1.9e+02%) | chi2=0|mwi=0.983|n=7.5M(0.75%)|n0=0.0M(4e-05%)|p=0.75%  |
| GL36   | +2.42395e-05 +- 9.8e-06  (40%)    | chi2=0|mwi=0.919|n=7.5M(0.75%)|n0=0.0M(0.0015%)|p=0.75%   |
| GL374  | -2.61624e-06 +- 9.62e-06 (3.7e+02%) | chi2=0|mwi=0.935|n=7.5M(0.75%)|n0=0.0M(0.001%)|p=0.75%  |
| GL452  | +6.7244e-06  +- 8.38e-06 (1.2e+02%) | chi2=0|mwi=0.897|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%   |
| GL212  | -3.87545e-05 +- 7.44e-06 (19%)    | chi2=0|mwi=0.718|n=7.5M(0.75%)|n0=0.1M(0.69%)|p=0.75%     |
| GL258  | -5.0516e-05  +- 7.19e-06 (14%)    | chi2=0|mwi=0.844|n=7.5M(0.75%)|n0=0.0M(0.00011%)|p=0.75%  |
| GL228  | -2.78989e-06 +- 6.15e-06 (2.2e+02%) | chi2=0|mwi=0.974|n=7.5M(0.75%)|n0=0.0M(0.0014%)|p=0.75% |
| GL176  | -2.90665e-05 +- 5.77e-06 (20%)    | chi2=0|mwi=0.811|n=7.5M(0.75%)|n0=0.1M(1.1%)|p=0.75%      |
| GL188  | +7.39777e-06 +- 5.67e-06 (77%)    | chi2=0|mwi=0.738|n=7.5M(0.75%)|n0=0.0M(0.0019%)|p=0.75%   |
| GL9    | +5.71312e-06 +- 4.72e-06 (83%)    | chi2=0|mwi=0.98|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%      |
| GL198  | +2.32312e-05 +- 4.68e-06 (20%)    | chi2=0|mwi=0.811|n=7.5M(0.75%)|n0=0.0M(0.0014%)|p=0.75%   |
| GL448  | -1.5354e-05  +- 3.35e-06 (22%)    | chi2=0|mwi=0.772|n=7.5M(0.75%)|n0=0.1M(0.69%)|p=0.75%     |
| GL226  | -1.04878e-05 +- 3.31e-06 (32%)    | chi2=0|mwi=0.47|n=7.5M(0.75%)|n0=0.0M(0.0013%)|p=0.75%    |
| GL164  | -8.48616e-06 +- 3.24e-06 (38%)    | chi2=0|mwi=0.965|n=7.5M(0.75%)|n0=0.0M(5.4e-05%)|p=0.75%  |
| GL148  | +9.18504e-06 +- 2.89e-06 (31%)    | chi2=0|mwi=0.72|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%      |
| GL200  | -1.93663e-05 +- 2.66e-06 (14%)    | chi2=0|mwi=0.716|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL132  | -3.5649e-06  +- 2.41e-06 (68%)    | chi2=0|mwi=0.997|n=7.5M(0.75%)|n0=0.1M(0.7%)|p=0.75%      |
| GL202  | -3.95869e-06 +- 2.3e-06  (58%)    | chi2=0|mwi=0.834|n=7.5M(0.75%)|n0=0.0M(0.0036%)|p=0.75%   |
| GL122  | +6.09415e-06 +- 2.11e-06 (35%)    | chi2=0|mwi=0.818|n=7.5M(0.75%)|n0=0.0M(0.0012%)|p=0.75%   |
| GL144  | +3.28485e-05 +- 2.05e-06 (6.3%)   | chi2=0|mwi=0.838|n=7.5M(0.75%)|n0=0.0M(9.4e-05%)|p=0.75%  |
| GL206  | -9.68643e-06 +- 1.87e-06 (19%)    | chi2=0|mwi=0.799|n=7.5M(0.75%)|n0=0.0M(1.3e-05%)|p=0.75%  |
| GL388  | -7.07374e-06 +- 1.73e-06 (24%)    | chi2=0|mwi=0.696|n=7.5M(0.75%)|n0=0.0M(4e-05%)|p=0.75%    |
| GL396  | -1.06275e-05 +- 1.71e-06 (16%)    | chi2=0|mwi=0.625|n=7.5M(0.75%)|n0=0.0M(0.0016%)|p=0.75%   |
| GL378  | +6.81567e-06 +- 1.62e-06 (24%)    | chi2=0|mwi=0.803|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL162  | -3.92971e-06 +- 1.56e-06 (40%)    | chi2=0|mwi=0.71|n=7.5M(0.75%)|n0=0.0M(0.0002%)|p=0.75%    |
| GL274  | -1.84889e-05 +- 1.48e-06 (8%)     | chi2=0|mwi=0.707|n=7.5M(0.75%)|n0=0.0M(0.0014%)|p=0.75%   |
| GL262  | +2.96771e-05 +- 1.45e-06 (4.9%)   | chi2=0|mwi=0.741|n=7.5M(0.75%)|n0=0.0M(2.7e-05%)|p=0.75%  |
| GL362  | -1.47801e-06 +- 1.36e-06 (92%)    | chi2=0|mwi=0.547|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%     |
| GL156  | -5.61146e-06 +- 1.23e-06 (22%)    | chi2=0|mwi=0.673|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%     |
| GL384  | +7.45063e-06 +- 1.18e-06 (16%)    | chi2=0|mwi=0.918|n=7.5M(0.75%)|n0=0.0M(0.33%)|p=0.75%     |
| GL290  | -4.19311e-06 +- 1.17e-06 (28%)    | chi2=0|mwi=0.343|n=7.5M(0.75%)|n0=0.0M(0.41%)|p=0.75%     |
| GL424  | +5.36605e-06 +- 1.17e-06 (22%)    | chi2=0|mwi=0.627|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%     |
| GL428  | -5.59557e-06 +- 1.16e-06 (21%)    | chi2=0|mwi=0.619|n=7.5M(0.75%)|n0=0.0M(0.33%)|p=0.75%     |
| GL160  | +2.6421e-06  +- 1.12e-06 (43%)    | chi2=0|mwi=0.65|n=7.5M(0.75%)|n0=0.0M(5.4e-05%)|p=0.75%   |
| GL232  | +1.10793e-05 +- 1.03e-06 (9.3%)   | chi2=0|mwi=0.664|n=7.5M(0.75%)|n0=0.0M(2.7e-05%)|p=0.75%  |
| GL246  | +5.7949e-06  +- 1.01e-06 (17%)    | chi2=0|mwi=0.707|n=7.5M(0.75%)|n0=0.0M(0.0011%)|p=0.75%   |
| GL8    | -1.75477e-06 +- 9.66e-07 (55%)    | chi2=0|mwi=0.705|n=7.5M(0.75%)|n0=0.0M(0.41%)|p=0.75%     |
