Run description: 80TeV_final_large_iterations (run id: 12347)
Result after 998.4M evaluations and 3 iterations: 0.00027144 +/- 0.001271   (4.7e+02%), chi2=0.461, max_wgt_infl=1.07, zero_evals=0.0978%
  -> Re[I0(mu_r_x_1)] = 0.00027144 +/- 0.0012707 (4.7e+02%), chi2=1.38, max_wgt_infl=1.07, zero_evals=0.0978%
     Im[I0(mu_r_x_1)] = 3.6142e-35 +/- 3.6142e-35 (1e+02%), chi2=1.34e+08, max_wgt_infl=2.37e+23, zero_evals=100%
+--------+----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                   |
+--------+----------------------------------------------------------------------------------------------------+
| GL176  | -5.03209e-05 +- 6.92e-06 (14%)    | chi2=3.62|mwi=1.14|n=2.2M(0.22%)|n0=0.0M(0.91%)|p=0.045%       |
| GL260  | -2.22007e-05 +- 6.04e-06 (27%)    | chi2=1.44|mwi=2.36|n=2.3M(0.23%)|n0=0.0M(0.0012%)|p=0.045%     |
| GL258  | -4.29652e-05 +- 4.95e-06 (12%)    | chi2=2.91|mwi=1.07|n=2.2M(0.22%)|n0=0.0M(0.00018%)|p=0.045%    |
| GL212  | -3.65088e-05 +- 4.91e-06 (13%)    | chi2=0.647|mwi=10.6|n=2.9M(0.29%)|n0=0.0M(0.47%)|p=0.045%      |
| GL188  | +9.05512e-06 +- 4.86e-06 (54%)    | chi2=0.758|mwi=2.42|n=2.2M(0.22%)|n0=0.0M(0.0017%)|p=0.045%    |
| GL382  | +5.55288e-05 +- 4.26e-06 (7.7%)   | chi2=0.416|mwi=20.7|n=4.0M(0.4%)|n0=0.0M(0.18%)|p=0.045%       |
| GL272  | -1.69739e-05 +- 4.02e-06 (24%)    | chi2=0.348|mwi=3.99|n=2.4M(0.24%)|n0=0.0M(0.28%)|p=0.045%      |
| GL84   | +1.99209e-05 +- 3.86e-06 (19%)    | chi2=2.05|mwi=2.35|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%       |
| GL98   | +1.62114e-05 +- 3.7e-06  (23%)    | chi2=1.74|mwi=0.707|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%      |
| GL198  | +1.86633e-05 +- 3.48e-06 (19%)    | chi2=0.607|mwi=6.56|n=2.4M(0.24%)|n0=0.0M(0.0012%)|p=0.045%    |
| GL226  | -3.31811e-06 +- 3.23e-06 (97%)    | chi2=1.41|mwi=4.57|n=2.3M(0.23%)|n0=0.0M(0.00091%)|p=0.045%    |
| GL406  | +1.13039e-05 +- 3.15e-06 (28%)    | chi2=1.62|mwi=1.95|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%       |
| GL148  | +3.6878e-06  +- 2.93e-06 (80%)    | chi2=0.623|mwi=6.82|n=2.4M(0.24%)|n0=0.0M(0.35%)|p=0.045%      |
| GL374  | -9.55533e-06 +- 2.72e-06 (28%)    | chi2=0.667|mwi=2.54|n=2.2M(0.22%)|n0=0.0M(0.001%)|p=0.045%     |
| GL262  | +3.15174e-05 +- 2.53e-06 (8%)     | chi2=0.461|mwi=0.84|n=2.2M(0.22%)|n0=0.0M(4.6e-05%)|p=0.045%   |
| GL204  | -7.94644e-06 +- 2.33e-06 (29%)    | chi2=0.321|mwi=1.21|n=2.2M(0.22%)|n0=0.0M(4.6e-05%)|p=0.045%   |
| GL200  | -1.95954e-05 +- 1.94e-06 (9.9%)   | chi2=1.26|mwi=0.729|n=2.2M(0.22%)|n0=0.0M(0.3%)|p=0.045%       |
| GL144  | +3.17652e-05 +- 1.63e-06 (5.1%)   | chi2=0.186|mwi=0.534|n=2.2M(0.22%)|n0=0.0M(4.6e-05%)|p=0.045%  |
| GL286  | -2.8835e-06  +- 1.43e-06 (50%)    | chi2=3.09|mwi=6.05|n=2.2M(0.22%)|n0=0.0M(0.0012%)|p=0.045%     |
| GL130  | -3.95425e-06 +- 1.43e-06 (36%)    | chi2=1.75|mwi=1.62|n=2.2M(0.22%)|n0=0.0M(0.6%)|p=0.045%        |
| GL388  | -2.1992e-06  +- 1.36e-06 (62%)    | chi2=1.62|mwi=1.3|n=2.2M(0.22%)|n0=0.0M(4.6e-05%)|p=0.045%     |
| GL448  | -1.68463e-05 +- 1.27e-06 (7.5%)   | chi2=0.824|mwi=9.68|n=2.3M(0.23%)|n0=0.0M(0.58%)|p=0.045%      |
| GL202  | +1.38537e-06 +- 1.23e-06 (89%)    | chi2=0.573|mwi=1.61|n=2.2M(0.22%)|n0=0.0M(0.0041%)|p=0.045%    |
| GL206  | -8.21626e-06 +- 1.16e-06 (14%)    | chi2=1.26|mwi=0.551|n=2.2M(0.22%)|n0=0.0M(4.6e-05%)|p=0.045%   |
| GL162  | -3.90569e-06 +- 1.16e-06 (30%)    | chi2=1.33|mwi=0.998|n=2.2M(0.22%)|n0=0.0M(0.00014%)|p=0.045%   |
| GL290  | -3.1197e-06  +- 1.15e-06 (37%)    | chi2=1.26|mwi=0.968|n=2.2M(0.22%)|n0=0.0M(0.38%)|p=0.045%      |
| GL396  | -1.10241e-05 +- 9.89e-07 (9%)     | chi2=0.386|mwi=1.28|n=2.2M(0.22%)|n0=0.0M(0.0017%)|p=0.045%    |
| GL452  | -1.1844e-06  +- 7.98e-07 (67%)    | chi2=0.818|mwi=0.971|n=2.2M(0.22%)|n0=0.0M(0.29%)|p=0.045%     |
