madgraph.havana 2025-05-03,06:25:22.223706 Now running iteration #4
| Status of 500 workers: 0 pending, 0 available, 500 running. A total of 0 jobs are pending.
| Jobs completed: overall = 6793 (avg 64.3 min/job), and for this iteration = 793/1318/2000 on 500 cpus.
| Total n_pts: 339.6M ( 85.5 ms / pt on one core,  5.8K pts / s overall ). n_pts for this iteration #4: 39.65M/100.00M (39.6%).
| Wall time: 16.142 h, IO: 0.01%, processing: 0.00%, jobs: 7276.793 CPU-hours, efficiency: 90.16%

Run description: nnlo_all_singlets_1_sqrts_346_05 (run id: 1)
Result after 339.6M evaluations and 3 iterations: -1.8484 +/- 0.02265   (1.2%), chi2=1.88, max_wgt_infl=92.8, zero_evals=7.8%
  -> Re[I0(mu_r_x_1)] = -1.8484 +/- 0.022653 (1.2%), chi2=5.63, max_wgt_infl=92.8, zero_evals=7.8%
     Im[I0(mu_r_x_1)] = -2.1351e-40 +/- 2.1351e-40 (1e+02%), chi2=2, max_wgt_infl=1.95e+31, zero_evals=100%
+--------+------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                               |
+--------+------------------------------------------------------------------------------------------------+
| Total  | -1.8484      +- 0.0227   (1.2%)   | chi2=1.88|mwi=92.8|n=339.6M(1e+02%)|n0=26.5M(7.8%)         |
| Sum    | -1.86996     +- 0.0212   (1.1%)                                                                |
| GL290  | -0.000611039 +- 1.1e-05  (1.8%)   | chi2=1.22|mwi=1.15|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%      |
| GL262  | +0.000260981 +- 1.07e-05 (4.1%)   | chi2=0.888|mwi=0.916|n=0.9M(0.27%)|n0=0.0M(0.25%)|p=0.07%  |
| GL260  | +0.000265167 +- 9.95e-06 (3.8%)   | chi2=0.408|mwi=0.419|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%   |
| GL394  | -0.000452157 +- 9.73e-06 (2.2%)   | chi2=1.36|mwi=4.57|n=0.9M(0.27%)|n0=0.0M(1.7%)|p=0.07%     |
| GL146  | -1.74428e-05 +- 8.68e-06 (50%)    | chi2=0.706|mwi=1.14|n=0.9M(0.27%)|n0=0.0M(0.28%)|p=0.07%   |
| GL150  | +7.10819e-06 +- 8.2e-06  (1.2e+02%) | chi2=0.909|mwi=0.557|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%  |
| GL274  | -0.000299379 +- 6.39e-06 (2.1%)   | chi2=0.715|mwi=1.14|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%    |
| GL292  | +0.000340421 +- 6.36e-06 (1.9%)   | chi2=0.759|mwi=1.57|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
| GL80   | -0.000252434 +- 5.88e-06 (2.3%)   | chi2=1.25|mwi=0.42|n=0.9M(0.27%)|n0=0.0M(2%)|p=0.07%       |
| GL368  | -2.71337e-07 +- 5.72e-06 (2.1e+03%) | chi2=1|mwi=0.317|n=0.9M(0.27%)|n0=0.0M(1.8%)|p=0.07%     |
| GL36   | +0.000212958 +- 5.47e-06 (2.6%)   | chi2=1.24|mwi=0.228|n=0.9M(0.27%)|n0=0.0M(2%)|p=0.07%      |
| GL86   | +0.000225436 +- 5.29e-06 (2.3%)   | chi2=1.26|mwi=0.811|n=0.9M(0.27%)|n0=0.0M(2%)|p=0.07%      |
| GL8    | -0.000224199 +- 4.99e-06 (2.2%)   | chi2=0.703|mwi=1.77|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
| GL406  | +0.000111927 +- 4.73e-06 (4.2%)   | chi2=0.124|mwi=1.24|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
| GL272  | +0.000261097 +- 4.67e-06 (1.8%)   | chi2=0.813|mwi=0.819|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL98   | +5.97821e-05 +- 4.61e-06 (7.7%)   | chi2=0.439|mwi=0.376|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL408  | -5.12937e-05 +- 4.37e-06 (8.5%)   | chi2=1.06|mwi=1.52|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%      |
| GL388  | -0.00043375  +- 4.24e-06 (0.98%)  | chi2=0.971|mwi=1.35|n=0.9M(0.27%)|n0=0.0M(0.27%)|p=0.07%   |
| GL188  | -7.18234e-05 +- 4.03e-06 (5.6%)   | chi2=0.564|mwi=0.194|n=0.9M(0.27%)|n0=0.0M(2%)|p=0.07%     |
| GL276  | -0.000169423 +- 3.8e-06  (2.2%)   | chi2=0.176|mwi=0.452|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
